Recipe title,Ingredients,Directions,Prep time,Cook time,Serves,Picture Name
banana bread pancakes,"3 bananas, (the riper the better)
2 eggs
1½ cup whole milk
2 cups flour
¼ cup brown sugar
2 teaspoons cinnamon
2 teaspoons baking powder
1 teaspoon salt
1 cup chopped walnuts, (toasted in a dry skillet if desired)
ghee, butter, or coconut oil for the pan
","At Home:

1.Add the flour, brown sugar, cinnamon, baking powder, and salt to a sealable bag or container and pack along with the rest of the ingredients. 
At Camp:

1.Place two bananas in a medium bowl and mash thoroughly with the back of a fork until fairly smooth. Crack the egg into the mixture and add in the milk. Beat the banana, egg, and milk together until smooth. 
2.Add the dry ingredients to the bowl and mix until well combined with the wet ingredients. Don't overmix - some small lumps are OK. If the batter seems too thick, you can add an additional ¼ cup milk.  
3.Heat a nonstick pan or well-seasoned cast iron skillet on your stove over medium-low to medium heat. Add a generous dab of ghee, butter, or coconut oil (especially if using cast iron!) and swirl to coat the pan. Pour ⅓ cup of the pancake batter into the center of the skillet and scatter some of the chopped walnuts on top. 

4.Cook for a few minutes until the top begins to bubble and the sides are set (2-3 minutes). Using a spatula, flip the pancake and cook the other side until golden.  
5.Repeat with the rest of the batter, adding more ghee or oil to the pan for each pancake as needed.  
6.To serve, stack the pancakes and top with maple syrup or butter, sliced banana, and additional toasted walnuts. Enjoy!  

",5,25,4,b_pan.jpg
apple cinnamon pancakes,"Pancakes:
1 egg
½ cup whole milk
½ cup spiced apple cider
1 tablespoon melted butter
1 cup flour
2 tablespoons sugar
1 teaspoon baking powder
½ teaspoon salt
½ cup shredded apple
Butter or oil to grease pan
Maple syrup for serving

Cinnamon Apple Topping:
1 apple, sliced or chopped
1 tablespoon butter
1 teaspoon sugar
1 teaspoon cinnamon
","At home or camp:

1.To make the batter, whisk egg, milk, cider, and melted butter together in a medium bowl. Add the flour, sugar, baking powder, and salt, stir to combine. Fold in the shredded apple. 
2.Heat a skillet or griddle over medium heat. Generously grease the surface, then pour the batter out ¼ cup at a time. 
3.When the bottom of the pancake is golden brown and little air bubbles begin to form on the top, flip the pancake and cook until golden brown. Repeat with the rest of the batter. 
4.To make the Cinnamon Apple Topping, melt 1 tablespoon butter in the skillet and add sliced apples, sugar, and cinnamon. Stir to coat the apples, then saute for a few minutes until apples have softened.  5.Serve pancakes topped with cinnamon apples and maple syrup. 
",5,25,4,cap.jpg
apple sweet potato hash,"4 slices thick-cut bacon, (Black Forest, if you can find it)
1 medium sweet potato, (skinned if preferred)
1 granny smith apple
1 teaspoon thyme
1 tablespoon butter, (optional)
2 eggs
","At home or camp:

1.Slice the sweet potato and apple into 1/2 to 1-inch chunks.  2.Place the bacon in a skillet. Turn the burner on to medium. Fry the bacon so it's just beginning to crisp on the bottom, then flip and cook an additional minute or so. Remove and place on a paper towel-lined plate and set aside.  3.Place the sweet potato, apple, and a pinch of salt into the skillet and saute until soft, about 15 minutes. In the meantime, chop the bacon. When the sweet potato and apples are nearly done, return the bacon to the skillet and sprinkle in the thyme. Taste and add salt as needed.  4.To cook the eggs, push the hash around to create two wells. If the skillet has dried out, you can add a bit of butter to each well to help the eggs fry and prevent sticking. Crack an egg into each well and cook to your preference. 
5.Serve immediately & enjoy!",5,20,2,hash.jpg
blueberry cobbler,"Filling:

3 cups fresh Oregon blueberries
2 tablespoons sugar
1 tablespoon flour
Juice & zest from ½ lemon, about 1 tablespoon juice
1 teaspoon ground cinnamon

Topping:

1 cup flour
¼ cup sugar
1 teaspoon baking powder
½ teaspoon salt
¼ cup butter, cold
⅓ cup milk

Optional: whipped cream
","At home or camp:

1.Combine the filling ingredients (blueberries, sugar, flour, juice and zest of half a lemon, cinnamon) in a bowl and toss to coat. 
2.Place the blueberry mixture into a lined 4-qt Dutch oven. 
3.To make the topping: combine flour, sugar, baking powder, and salt in the bowl and stir to mix. Add the butter and mix and mash with a fork or your hands until the flour and butter come together into pea sized pieces. Add the milk and stir to combine. 
4.Drop the topping batter across the blueberries. 
5.Cover the Dutch oven and place on a bed of 7 coals, adding 14 to the lid of the oven. 
6.Cook for 40-45 minutes, giving the oven and lid a ¼ turn every 15 minutes and adding new coals if they die out, until the topping is golden brown. 
7.Remove from the heat and set aside, uncovered, to cool a touch before serving with whipped cream.",10,45,4,blue_cob.jpg
autum plum skillet tart,"1 cup plain flour
Pinch of salt
4 tablespoons butter, grated
2-3 tablespoons cold water
4-5 dark ripe plums
2 tablespoons coconut sugar
1/3 cup water 2 tablespoons honey
","At home:

1.Put the flour and salt in a large bowl and add grated butter. Use your fingertips to rub the butter into the flour until you have a mixture that feels like coarse breadcrumbs with no large lumps. Using a knife, stir in just enough of the cold water to bind the dough together. 
2.Wrap the dough in saran wrap and chill for 10-15 minutes. Roll out a large piece of pastry between two sheets of baking paper about 1/4"" (3mm) thick and large enough to cover the bottom and sides of your skillet.  
3.Roll the sheets and pastry up and refrigerate until ready to take camping. 
At camp:

1.Slice plums into wedges and put into a saucepan with half the coconut sugar and water. 
2.Bring to a boil then let simmer over the campfire, stirring when needed to stop it sticking, adding more water if needed (but the plums should begin to release moisture as they cook). 
3.Once the plum pieces are soft, pour the liquid into another pan and discard 
4.Unroll the sheet of pastry and lay into a skillet, cut to fit around the edges. Place plum pieces into the skillet, arranging in one flat layer. Drizzle with honey and fold edges in slightly. 
5.Cover with aluminum foil or lid so it is airtight, and place over a low fire, cook until edges begin to appear brown. 
6.If you want the top pieces to brown, you can get resourceful on your cooking methods and lay glowing firewood over the top for a few minutes – caution though, this is only for the intrepid camper!",10,40,4,tart.jpg
cashew chicken wrap,"1 7oz packet cooked chicken
2 tortillas or wraps
½ cup chopped cashews
2 mayo packets, about 2 tablespoons
2 honey packets, about 2 tablespoons
1-2 Sriracha packets
1 teaspoon dried cilantro
Salt
","At home:

1.place the cashews, honey, mayo, Sriracha packets, cilantro, and salt into a bag. Pack this bag along with the chicken pouch and the cashews. 
In camp:
1.drain the chicken if needed. Add the cashews, honey, mayo, Sriracha, cilantro, and salt to the chicken and stir to combine. 

2.Spoon the chicken mixture into the tortillas. Roll them up burrito style and enjoy! 
",5,5,2,chick.jpg
summer spring rolls,"Satay Sauce

1/2 teaspoon salt
1 tablespoon apple cider vinegar
Juice of half a lemon or lime
2 cloves garlic, chopped finely
1/2 cup almond butter
2 teaspoons sesame oil
1 tablespoon soy sauce or aminos
1 teaspoon fish sauce
2 teaspoons grated fresh ginger
1/3 teaspoon red chili flakes
Black pepper to taste

Spring Rolls
Rice paper wraps, about 12-16 medium sized
¼ cup sesame seeds
¼ cup peanuts, almonds or cashews
1 large carrot
1 mango
1/3 small red cabbage
1 small cucumber
Pickled Ginger
2 cloves garlic, chopped finely
","At home:

1.Put all Satay ingredients into a jar and mix or shake to combine. 

2.Add a little water to desired sauce consistency. This will last in a jar in the fridge for a few days so you can make a batch and take what you need!  
At camp:

2.Lightly toast sesame seeds and nuts in a small pan over the campfire until starting to brown, remove quickly and let cool. 
3.Chop carrots and cucumber into matchsticks, and thinly slice mango and red cabbage. 
4.Soak rice wraps one at a time in lukewarm water until starting to soften, remove and lay on chopping board. Top with a couple of slices of each ingredient and a sprinkle of seeds, nuts, and pickled ginger. Fold in edges one at a time, rolling as you go to keep it tight. 
5.Pour satay sauce into a small bowl and use to dip your summer rolls into! 
",20,0,6,roll.jpg
chili mac,"1 tablespoon oil
1 onion, diced
½ pound ground beef
2 tablespoons tomato paste
2 tablespoons chili powder
1 tablespoon cumin
1 teaspoon smoked paprika
1 teaspoon sea salt
2 cloves garlic, minced
8 oz elbow noodles
1 (14.5oz) can kidney beans, drained
1 ½ cup beef broth
½ cup shredded cheddar cheese
To serve: minced red onion, jalapeno, scallions","At home or camp:

1.In a Dutch oven or other large pot with a lid, heat the oil over medium heat. Add the onion and saute until translucent, 3-5 minutes.  2.Add the ground beef, tomato paste, chili powder, cumin, smoked paprika, and salt. Using your spoon or spatula, break apart the meat and stir to coat with the tomato paste and spices. Once browned, add the garlic and saute for 30-60 seconds.  3.Add the noodles, kidney beans, and broth and stir. Cover with the lid and cook for 5-6 minutes (unless the noodle packaging denotes a different cooking time).  4.Remove the lid and stir in the cheese. Serve with your favorite chili toppings",5,15,4,mac.jpg
cilantro lime chicken tacos,"4 boneless skinless chicken thighs, about 1 lb
2 tablespoons chopped cilantro
2 limes, juice + zest
1 teaspoon salt
1 teaspoon chili powder
1 teaspoon cumin
½ teaspoon garlic powder
½ teaspoon ground coriander
1 tablespoon oil

Taco Assembly:
tortillas
pico de gallo
cheese
cilantro
","At home:

1.Prepare the marinade: Mix the oil, lime juice + zest, cilantro, and spices together in a small bowl. 

2.Place the chicken into an airtight container or sealable bag and pour the marinade over, shaking to ensure that the chicken is coated evenly. Marinate for at least 30 minutes.  At camp:

1.Prepare a grill or campfire for grilling. 
2.Remove the chicken from the marinade and place it on the grill. 

3.Cook until the internal temperature reaches 165F, turning as needed to ensure even cooking (approx 5-8 minutes on each side). 

4.Remove from the heat and chop into bite-sized pieces. 
5.To assemble the tacos, layer chicken, pico de gallo, cheese, and fresh cilantro into tortillas (warmed over the grill if you’d prefer!) and enjoy. 
",30,25,4,c_taco.jpg
glazed salmon,"1/4 cup soy sauce
1/4 cup honey
1 tablespoon toasted sesame oil
2 cloves garlic, minced
1 teaspoon minced ginger
2 tablespoons oil, divided
4 oz mushrooms
4 oz baby bok choy, stems removed and sliced, leaves roughly chopped
1/4 teaspoon salt
2 6oz salmon fillets","At home or camp:

1.Add soy sauce, honey, toasted sesame oil, minced garlic, and minced ginger to a small bowl and stir to combine. Set aside.  2.Heat 1 tablespoon oil in a skillet over medium. Add the mushrooms and the bok choy stems and saute 5 minutes until the mushrooms begin to brown. Add the bok choy leaves and cook until barely wilted, about 30 seconds. Move the vegetables to the sides of the skillet.  3.Add remaining 1 tablespoon oil to the skillet and place the salmon fillets skin-side down. Brush the top with some of the soy-honey glaze. Cook 3-4 minutes, then flip and cook 2-3 minutes more.  4.Remove the salmon and veggies from the skillet. Pour in the soy-honey mixture and increase the heat to medium-high. Simmer the sauce until thickened. 
5.Divide the salmon and veggies between two plates, then drizzle the sauce over the salmon. Enjoy! 
",5,17,2,salmon.jpg
chicken pad thai,"7 oz Pad Thai noodles
2 tablespoons sesame oil
1 large chicken breast, cut into cubes
1 small onion, diced
¼ teaspoon salt
2 eggs, beaten
⅔ cup Pad Thai sauce, store-bought, or see recipe below
½ cup sliced green onions
½ cup chopped cilantro
¼ cup chopped peanuts

Pad Thai Sauce:
2 tablespoons soy sauce
2 tablespoons rice vinegar
2 tablespoons lime juice
2 tablespoons brown sugar
1 tablespoon chili-garlic sauce, or Sriracha
1 tablespoon fish sauce","At home:
 
1.Combine all the sauce ingredients in a small, sealable jar or bottle and shake to combine. Pack in your cooler.	

At camp:

1.Bring a pot of water to a boil. Once the water is boiling, turn off the heat and submerge the noodles for 8-10 minutes. Noodles are done when they are soft but “al dente.” 
2.Meanwhile, heat 2 tablespoons sesame oil (or regular vegetable oil if that’s what you’ve got) in a skillet over medium. Once hot, add the chicken, onions, and salt. Saute until the chicken is cooked through and the onions are starting to brown. 
3.Move the chicken to one side of the pan, lower the heat, then add the eggs to the skillet, stirring them frequently to scramble. 
4.Once the noodles are done (see step 1), the chicken is cooked through, and the eggs are scrambled, use tongs to lift the noodles out of their soaking water. Add noodles to the skillet, then pour in the pad thai sauce. Stir to coat the noodles. 
5.Top with green onions, fresh cilantro, and chopped peanuts. Enjoy! 
 
",5,15,2,pad.jpg
pumpkin mac,"Panko Sage Topping:
1 tablespoon oil
1/2 cup panko
1 tablespoon chopped fresh sage, (4-6 leaves)
1 tablespoon minced garlic

Pumpkin Mac & Cheese:
2 cups elbow macaroni
2 cups water
1/2 teaspoon salt
1 cup pumpkin puree
1 cup gruyere cheese, finely grated
","At home:

1.To make the panko sage topping: Heat oil in a skillet over medium. Add the panko and sage, stir to coat. Add the garlic. Stir the mix frequently until the panko is golden brown. Remove the topping and set aside.  2.Place in an airtight container and pack in your pantry box. 
At camp:
 1.Place the elbow macaroni in the empty skillet. Add water to cover (about 2 cups) and the salt. Stir to combine.  2.Bring to a boil, stirring frequently. Cook until the pasta is tender (check the pasta's packaging for a good time estimate). When the pasta is done, the water should be mostly - but not entirely - absorbed. If needed, drain excess water, or add in a bit of water if the pan is too dry. 
3.Mix the pumpkin puree and cheese in with the pasta and remaining water (which will help create the sauce). 
4.Serve in bowls with the crunchy Panko Sage Topping. Enjoy!  
",5,17,2,pump.jpg
halloumi tacos,"7 oz halloumi cheese, (to equal 6 slices)
1 teaspoon olive oil
1 small red onion, quartered
1 pepper
6 corn tortillas

To Serve:
handful cilantro, chopped
salsa
avocado slices
corn, beans, or rice
lime wedges","At home or camp:

1.Pre-heat the grill. 
2.Place the quartered onions and pepper on the grill. Turn occasionally so they cook evenly. Once the vegetables begin to soften and are black in spots, it's time to add the halloumi. 
3.Brush the halloumi with olive oil to prevent sticking. Place the halloumi on the grill and grill each side for about three minutes, or until grill marks form on the cheese. Remove the cheese & vegetables from the grill. 
4.Heat the tortillas over the grill, 15-30 seconds on each side. 
5.Slice the halloumi into bite-sized pieces. Dice the onion and chop & de-seed the pepper. 
6.Build your tacos & enjoy!",5,15,2,cheese.jpg
lentil sloppy joes,"½ tablespoon oil
1 small onion, diced
1 Anaheim pepper, diced
2 tablespoons tomato paste
3 cloves garlic, minced
½ cup red lentils
1 ½ cup water, or broth
1 tablespoon mustard
1 tablespoon maple syrup
2 teaspoons apple cider vinegar
1 teaspoon vegan Worcestershire
1 teaspoon chili powder
½ teaspoon salt","At home or camp:

1.In a medium pot, heat the oil over medium heat and add the chopped onions and Anaheim pepper. Saute until soft and the onions just begin to turn golden, 3-4 minutes. Add tomato paste and saute for a minute, then add the garlic and cook 1 minute.  2.Add the red lentils and 1 ½ cup water to the pot. Bring to a boil, then reduce to a simmer. Cook 10-15 minutes, stirring occasionally, until the lentils are pretty tender but not falling apart.  3.Add mustard, maple syrup, apple cider vinegar, Worcestershire, chili powder, and salt. Stir to combine. Simmer until the sauce thickens a bit, 3-5 minutes more.  4.Serve on toasted buns with whatever toppings and sides you love!",5,25,2,joe.jpg
gyro kebob,"1/2 pound lamb, cut into bite sized pieces
4 oz halloumi
10 cherry tomatoes
2 teaspoons oil
salt, to taste
4 flatbreads or large pitas

Marinade
juice of 1/2 lemon, (about 2 tablespoons)
1 tablespoon olive oil
1 teaspoon dried oregano
1 clove garlic, finely minced

Lemon sauce
1/2 cup plain Greek yogurt
juice of 1/2 lemon, *
1 clove garlic, finely minced
1/4 teaspoon salt","At home:

1.Stir together all marinade ingredients in a small bowl. Place the lamb in a large zip-top bag or resealable container and pour in the marinade, making sure the meat is completely coated. Meat should marinate at least an hour and up to 48 hours.

At camp: 
1.Fire up your grill or get your campfire going. You’ll be cooking the kebabs over medium-high to high heat. 
2.Build your skewers by threading the lamb, tomatoes, and halloumi on their own skewers. Brush the tomato and cheese skewers with oil, and season the lamb skewers with salt. 
3.Once the grill has reached a medium-high heat, place all the skewers on the grate. Grill, turning often, until the lamb has cooked through (about 10 minutes), the tomatoes are soft and beginning to blister (about 4 minutes), and the halloumi is soft and grill marks form (about 3 minutes on each side). Heat the flatbreads over the grill until warm. 
4.n the meantime, make the yogurt sauce by combining the yogurt, lemon juice, garlic, and salt.  5.Build your gyros by spreading some of the sauce on each flatbread and topping with the lamb, tomatoes, and halloumi. ",10,15,2,gyros.jpg
